Column 1;Column 2;Summary;Score;Column 5;CPU;Column 7;Column 8;Motherboard;OS;Column 11;Column 12;GPU;GPU Vendor;Column 15
1202;melodyblue;AMD Ryzen 9 3900X 12-Core ProcessorASUS GeForce RTX 2080 Rev. A  (TU104);6182;Created:08 December 2019 (07:36);CPU Name:AMD Ryzen 9 3900X 12-Core Processor;Physical / Logical CPUs: 12 / 24;CPU Clock (max):3800 MHz;Motherboard:MSI PRESTIGE X570 CREATION (MS-7C36);OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:441.41;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):1965 MHzGPU Temp min/max:51 / 81 C° FPS min/avg/max: 35.13 / 46.24 / 60.38 Detailed score info
1203;ausow2;AMD Ryzen 5 1600 Six-Core ProcessorNVIDIA GeForce GTX 1080 Ti  (GP102);6181;Created:17 November 2018 (01:48);CPU Name:AMD Ryzen 5 1600 Six-Core Processor;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3200 MHz;Motherboard:MSI X370 GAMING PRO CARBON (MS-7A32);OS:Windows 10  (build 17134);Graphics API: DirectX ;GPU Driver:416.81;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:NVIDIA;GPU Memory:11264 MBGPU Memory clock (max):6003 MHzGPU Core clock (max):2012 MHzGPU Temp min/max:56 / 78 C° FPS min/avg/max: 37.55 / 46.23 / 55.56 Detailed score info
1203;CyberSparky;Intel Core i7-6800KEVGA GeForce GTX 1080 Ti  (GP102);6181;Created:01 August 2017 (18:02);CPU Name:Intel Core i7-6800K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3401 MHz;Motherboard:ASUS RAMPAGE V EXTREME;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:385.12;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5760 MHzGPU Core clock (max):2075 MHzGPU Temp min/max:36 / 56 C° FPS min/avg/max: 37.85 / 46.23 / 55.62 Detailed score info
1203;Hooride;Intel Core i7-4790EVGA GeForce GTX 1080 Ti  (GP102);6181;Created:16 July 2017 (16:46);CPU Name:Intel Core i7-4790;Physical / Logical CPUs: 4 / 8;CPU Clock (max):3601 MHz;Motherboard:ASUS SABERTOOTH Z97 MARK 1/USB 3.1;OS:Windows 7  (build 7601);Graphics API: DirectX ;GPU Driver:384.76;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6003 MHzGPU Core clock (max):2062 MHzGPU Temp min/max:35 / 61 C° FPS min/avg/max: 37.06 / 46.23 / 54.23 Detailed score info
1204;Racerjake37;AMD Ryzen 7 1700 Eight-Core ProcessorEVGA GeForce GTX 1080 Ti  (GP102);6180;Created:07 September 2017 (18:13);CPU Name:AMD Ryzen 7 1700 Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3893 MHz;Motherboard:ASRock X370 Killer SLI/ac;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:385.41;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6054 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:35 / 61 C° FPS min/avg/max: 37.67 / 46.23 / 55.62 Detailed score info
1204;TuPut@M@lder;Intel Core i7 X 980MSI GeForce GTX 1080 Ti  (GP102);6180;Created:15 November 2017 (14:01);CPU Name:Intel Core i7 X 980;Physical / Logical CPUs: 6 / 12;CPU Clock (max):4200 MHz;Motherboard:ASUS P6X58D-E;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:388.13;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:MSI;GPU Memory:11264 MBGPU Memory clock (max):5896 MHzGPU Core clock (max):2037 MHzGPU Temp min/max:21 / 43 C° FPS min/avg/max: 36.97 / 46.23 / 54.67 Detailed score info
1205;thesnowdigger;Intel Xeon E5-2667 v2EVGA GeForce GTX 1080 Ti  (GP102);6179;Created:03 September 2018 (21:16);CPU Name:Intel Xeon E5-2667 v2;Physical / Logical CPUs: 3 / 6;CPU Clock (max):3300 MHz;Motherboard:Supermicro X9DAi;OS:Windows 8.1  (build 9600);Graphics API: DirectX ;GPU Driver:399.07;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5702 MHzGPU Core clock (max):2075 MHzGPU Temp min/max:35 / 44 C° FPS min/avg/max: 37.6 / 46.22 / 53.06 Detailed score info
1205;skstian;Intel Core i7-8700KEVGA GeForce GTX 1080 Ti  (GP102);6179;Created:26 December 2017 (21:21);CPU Name:Intel Core i7-8700K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3696 MHz;Motherboard:ASUS ROG MAXIMUS X HERO (WI-FI AC);OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:388.59;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6003 MHzGPU Core clock (max):2025 MHzGPU Temp min/max:49 / 63 C° FPS min/avg/max: 37.38 / 46.22 / 54.15 Detailed score info
1205;tony.poblacion;Intel Core i7-8700KEVGA GeForce GTX 1080 Ti  (GP102);6179;Created:17 August 2018 (13:44);CPU Name:Intel Core i7-8700K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3701 MHz;Motherboard:ASUS ROG MAXIMUS X HERO (WI-FI AC);OS:Windows 10  (build 17134);Graphics API: DirectX ;GPU Driver:398.36;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5977 MHzGPU Core clock (max):2012 MHzGPU Temp min/max:30 / 54 C° FPS min/avg/max: 37.72 / 46.22 / 52.49 Detailed score info
1205;Fivebasher;Intel Core i7-7700KEVGA GeForce GTX 1080 Ti  (GP102);6179;Created:09 June 2017 (06:06);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4200 MHz;Motherboard:ASUS MAXIMUS IX CODE;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:382.05;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5953 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:53 / 71 C° FPS min/avg/max: 37.61 / 46.22 / 53.84 Detailed score info
1206;shane.xero1;Intel Core i7-8700KEVGA GeForce GTX 1080 Ti  (GP102);6178;Created:09 June 2018 (20:50);CPU Name:Intel Core i7-8700K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3696 MHz;Motherboard:ASUS ROG MAXIMUS X HERO (WI-FI AC);OS:Windows 10  (build 17134);Graphics API: DirectX ;GPU Driver:397.31;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5508 MHzGPU Core clock (max):2088 MHzGPU Temp min/max:25 / 52 C° FPS min/avg/max: 37.94 / 46.21 / 53.87 Detailed score info
1207;timurgirgin;Intel Core i7-5930KASUS GeForce GTX 1080 Ti  (GP102);6177;Created:22 April 2017 (21:44);CPU Name:Intel Core i7-5930K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3500 MHz;Motherboard:ASUS RAMPAGE V EXTREME;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:381.65;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:ASUS;GPU Memory:11264 MBGPU Memory clock (max):5899 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:47 / 66 C° FPS min/avg/max: 37.24 / 46.2 / 53.97 Detailed score info
1208;nicholasgaliatsatos;Intel Core i9-7900XASUS GeForce GTX 1080 Ti  (GP102);6175;Created:11 December 2017 (00:25);CPU Name:Intel Core i9-7900X;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3301 MHz;Motherboard:Gigabyte X299 AORUS Gaming 9;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:388.59;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:ASUS;GPU Memory:11264 MBGPU Memory clock (max):6106 MHzGPU Core clock (max):2037 MHzGPU Temp min/max:40 / 63 C° FPS min/avg/max: 37.2 / 46.19 / 55.15 Detailed score info
1208;datNickdude;Intel Core i7-6700KZOTAC GeForce GTX 1080 Ti  (GP102);6175;Created:30 July 2018 (09:21);CPU Name:Intel Core i7-6700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4001 MHz;Motherboard:ASRock H170 Performance;OS:Windows 10  (build 17134);Graphics API: DirectX ;GPU Driver:398.11;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:ZOTAC;GPU Memory:11264 MBGPU Memory clock (max):5791 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:28 / 68 C° FPS min/avg/max: 37.69 / 46.19 / 52.82 Detailed score info
1208;Major Fletcher;Intel Core i7-7700KEVGA GeForce GTX 1080 Ti  (GP102);6175;Created:27 April 2017 (02:04);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):700 MHz;Motherboard:MSI Z270 GAMING PRO CARBON (MS-7A63);OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:381.65;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6003 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:39 / 67 C° FPS min/avg/max: 37.32 / 46.19 / 53.48 Detailed score info
1208;Syn;Intel Core i7-4790KGigabyte GeForce GTX 1080 Ti  (GP102);6175;Created:20 March 2018 (03:35);CPU Name:Intel Core i7-4790K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4001 MHz;Motherboard:Gigabyte Z97X-Gaming 7;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:391.01;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:Gigabyte;GPU Memory:11264 MBGPU Memory clock (max):5760 MHzGPU Core clock (max):2025 MHzGPU Temp min/max:53 / 72 C° FPS min/avg/max: 36.64 / 46.19 / 55.55 Detailed score info
1209;radsan-68;Intel Core i7-4770KASUS GeForce GTX 1080 Ti  (GP102);6174;Created:22 October 2017 (05:22);CPU Name:Intel Core i7-4770K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):3501 MHz;Motherboard:ASUS Z87-DELUXE;OS:Windows 7  (build 7601);Graphics API: DirectX ;GPU Driver:385.69;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:ASUS;GPU Memory:11264 MBGPU Memory clock (max):5999 MHzGPU Core clock (max):2025 MHzGPU Temp min/max:31 / 50 C° FPS min/avg/max: 37.38 / 46.18 / 52.77 Detailed score info
1210;subsmalls;Intel Core i7-7700KGigabyte GeForce GTX 1080 Ti  (GP102);6173;Created:22 January 2018 (12:31);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4201 MHz;Motherboard:ASRock Z270 Pro4;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:390.65;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:Gigabyte;GPU Memory:11264 MBGPU Memory clock (max):5999 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:32 / 62 C° FPS min/avg/max: 37.29 / 46.18 / 52.57 Detailed score info
1210;soidsnake;Intel Core i7-6700KASUS GeForce GTX 1080 Ti  (GP102);6173;Created:15 April 2017 (19:54);CPU Name:Intel Core i7-6700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4008 MHz;Motherboard:ASUS Z170-DELUXE;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:381.65;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:ASUS;GPU Memory:11264 MBGPU Memory clock (max):5702 MHzGPU Core clock (max):2088 MHzGPU Temp min/max:46 / 70 C° FPS min/avg/max: 37.14 / 46.17 / 52.8 Detailed score info
1210;VioDuskar;Intel Core i7-7700KASUS GeForce RTX 2070 SUPER  (TU104);6173;Created:07 May 2020 (06:04);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4201 MHz;Motherboard:ASUS STRIX Z270I GAMING;OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:445.87;GPU Name:GeForce RTX 2070 SUPER  (TU104);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):6801 MHzGPU Core clock (max):2040 MHzGPU Temp min/max:61 / 86 C° FPS min/avg/max: 35.1 / 46.17 / 62.04 Detailed score info
1210;jessew7;Intel Core i7-6700KEVGA GeForce GTX 1080 Ti  (GP102);6173;Created:18 May 2017 (05:00);CPU Name:Intel Core i7-6700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4008 MHz;Motherboard:ASUS MAXIMUS IX FORMULA;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:382.05;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5740 MHzGPU Core clock (max):2075 MHzGPU Temp min/max:28 / 41 C° FPS min/avg/max: 37.24 / 46.17 / 54.3 Detailed score info
1211;helsorg;Intel Core i7-7700KEVGA GeForce GTX 1080 Ti  (GP102);6172;Created:10 November 2017 (17:57);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):500 MHz;Motherboard:ASUS MAXIMUS IX FORMULA;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:388.13;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5940 MHzGPU Core clock (max):2062 MHzGPU Temp min/max:37 / 80 C° FPS min/avg/max: 36.16 / 46.17 / 53.91 Detailed score info
1211;vr4ever;Intel Core i9-9900KEVGA GeForce GTX 1080 Ti  (GP102);6172;Created:04 August 2019 (20:06);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:Gigabyte Z390 AORUS MASTER-CF;OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:431.36;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5899 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:38 / 54 C° FPS min/avg/max: 36.93 / 46.17 / 53.16 Detailed score info
1211;mooter;AMD Ryzen 7 1800X Eight-Core ProcessorEVGA GeForce GTX 1080 Ti  (GP102);6172;Created:13 May 2018 (23:46);CPU Name:AMD Ryzen 7 1800X Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3950 MHz;Motherboard:ASUS CROSSHAIR VI HERO;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:397.64;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5899 MHzGPU Core clock (max):1999 MHzGPU Temp min/max:26 / 47 C° FPS min/avg/max: 32.85 / 46.17 / 53 Detailed score info
1211;kaymay;AMD Ryzen 7 2700X Eight-Core ProcessorASUS GeForce GTX 1080 Ti  (GP102);6172;Created:20 October 2020 (16:22);CPU Name:AMD Ryzen 7 2700X Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):4000 MHz;Motherboard:ASUS TUF B350M-PLUS GAMING;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:ASUS;GPU Memory:11264 MBGPU Memory clock (max):5899 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:40 / 71 C° FPS min/avg/max: 37.5 / 46.16 / 55.79 Detailed score info
1211;krlesch;Intel Core i9-9900KSEVGA GeForce GTX 1080 Ti  (GP102);6172;Created:05 May 2020 (15:43);CPU Name:Intel Core i9-9900KS;Physical / Logical CPUs: 8 / 16;CPU Clock (max):4008 MHz;Motherboard:ASUS ROG MAXIMUS XI HERO (WI-FI);OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:445.87;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5953 MHzGPU Core clock (max):2012 MHzGPU Temp min/max:37 / 61 C° FPS min/avg/max: 37.32 / 46.16 / 52.27 Detailed score info
1212;duicane;AMD Ryzen 7 1700 Eight-Core ProcessorEVGA GeForce GTX 1080 Ti  (GP102);6171;Created:16 December 2017 (01:50);CPU Name:AMD Ryzen 7 1700 Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3900 MHz;Motherboard:ASUS PRIME X370-PRO;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:388.31;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5940 MHzGPU Core clock (max):2037 MHzGPU Temp min/max:36 / 58 C° FPS min/avg/max: 37.16 / 46.16 / 53.26 Detailed score info
1213;anton_extra;Intel Core i7-7700KEVGA GeForce GTX 1080 Ti  (GP102);6170;Created:16 May 2017 (16:39);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4200 MHz;Motherboard:ASUS MAXIMUS IX FORMULA;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:382.05;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5760 MHzGPU Core clock (max):2037 MHzGPU Temp min/max:32 / 44 C° FPS min/avg/max: 37.25 / 46.15 / 53.41 Detailed score info
1213;Chrisliuboy;Intel Core i7-7700KEVGA GeForce GTX 1080 Ti  (GP102);6170;Created:16 May 2018 (06:34);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4200 MHz;Motherboard:ASUS STRIX Z270E GAMING;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:397.64;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6003 MHzGPU Core clock (max):1987 MHzGPU Temp min/max:30 / 50 C° FPS min/avg/max: 37.29 / 46.15 / 51.94 Detailed score info
1214;nicholsjciii;AMD Ryzen Threadripper 3960X 24-Core ProcessorNVIDIA GeForce GTX 1080 Ti  (GP102);6169;Created:23 February 2020 (15:25);CPU Name:AMD Ryzen Threadripper 3960X 24-Core Processor;Physical / Logical CPUs: 24 / 48;CPU Clock (max):4225 MHz;Motherboard:ASUS ROG ZENITH II EXTREME;OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:441.87;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:NVIDIA;GPU Memory:11264 MBGPU Memory clock (max):6023 MHzGPU Core clock (max):2075 MHzGPU Temp min/max:22 / 34 C° FPS min/avg/max: 37.11 / 46.15 / 57.1 Detailed score info
1214;raygew2;Intel Core i7-4790KEVGA GeForce GTX 1080 Ti  (GP102);6169;Created:10 September 2017 (06:44);CPU Name:Intel Core i7-4790K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4001 MHz;Motherboard:ASUS MAXIMUS VII HERO;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:385.28;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5999 MHzGPU Core clock (max):2025 MHzGPU Temp min/max:35 / 64 C° FPS min/avg/max: 37.24 / 46.14 / 53.7 Detailed score info
1215;Kitch;Intel Core i7-3770KEVGA GeForce GTX 1080 Ti  (GP102);6168;Created:12 June 2017 (10:13);CPU Name:Intel Core i7-3770K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):3501 MHz;Motherboard:ASUS SABERTOOTH Z77;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:382.53;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6118 MHzGPU Core clock (max):2062 MHzGPU Temp min/max:40 / 67 C° FPS min/avg/max: 37.01 / 46.14 / 54.23 Detailed score info
1215;SLiguykyle;Intel Core i7-4790KIntel HD Graphics 4600;6168;Created:29 June 2018 (13:04);CPU Name:Intel Core i7-4790K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4001 MHz;Motherboard:Gigabyte Z97MX-Gaming 5;OS:Windows 10  (build 16299);Graphics API: DirectX ;GPU Driver:20.19.15.4835;GPU Name:HD Graphics 4600;GPU Vendor:Intel;GPU Memory:1024 MBGPU Memory clock (max):N/AGPU Core clock (max):N/AGPU Temp min/max:N/A FPS min/avg/max: 37.12 / 46.14 / 52.69 Detailed score info
1215;DaBlackSheep;Intel Core i7-7900XASUS GeForce RTX 2070 Rev. A  (TU106);6168;Created:17 February 2019 (12:32);CPU Name:Intel Core i7-7900X;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3312 MHz;Motherboard:Gigabyte X299 AORUS Gaming 7;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:418.91;GPU Name:GeForce RTX 2070 Rev. A  (TU106);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):8000 MHzGPU Core clock (max):2100 MHzGPU Temp min/max:38 / 69 C° FPS min/avg/max: 36.03 / 46.13 / 55.95 Detailed score info
1216;Uniwarking;Intel Core i7-6700KEVGA GeForce GTX 1080 Ti  (GP102);6167;Created:01 August 2017 (13:46);CPU Name:Intel Core i7-6700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4001 MHz;Motherboard:Gigabyte Z170X-Gaming 7;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:384.76;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):5899 MHzGPU Core clock (max):2037 MHzGPU Temp min/max:27 / 44 C° FPS min/avg/max: 37.19 / 46.13 / 53.82 Detailed score info
1216;RickyOG90;Intel Core i7-7820XEVGA GeForce GTX 1080 Ti  (GP102);6167;Created:24 June 2018 (22:42);CPU Name:Intel Core i7-7820X;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:Gigabyte X299 AORUS Gaming 7;OS:Windows 10  (build 16299);Graphics API: DirectX ;GPU Driver:390.77;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6300 MHzGPU Core clock (max):2025 MHzGPU Temp min/max:33 / 44 C° FPS min/avg/max: 37.63 / 46.13 / 54.16 Detailed score info
1216;rogflash;AMD Ryzen Threadripper 1950X 16-Core ProcessorASUS GeForce GTX 1080 Ti  (GP102);6167;Created:30 May 2018 (03:48);CPU Name:AMD Ryzen Threadripper 1950X 16-Core Processor;Physical / Logical CPUs: 16 / 32;CPU Clock (max):4000 MHz;Motherboard:ASUS ROG ZENITH EXTREME;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:397.93;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:ASUS;GPU Memory:11264 MBGPU Memory clock (max):5742 MHzGPU Core clock (max):2062 MHzGPU Temp min/max:31 / 44 C° FPS min/avg/max: 37.38 / 46.13 / 52.92 Detailed score info
1217;kody7839;Intel Core i7-2600KEVGA GeForce GTX 1080 Ti  (GP102);6166;Created:15 June 2017 (03:47);CPU Name:Intel Core i7-2600K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):3401 MHz;Motherboard:ASUS Maximus IV Extreme-Z;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:382.33;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6003 MHzGPU Core clock (max):2025 MHzGPU Temp min/max:32 / 53 C° FPS min/avg/max: 37.2 / 46.12 / 53.35 Detailed score info
1217;jdmh22cb7;Intel Core i7-6700KEVGA GeForce GTX 1080 Ti  (GP102);6166;Created:16 May 2017 (03:41);CPU Name:Intel Core i7-6700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4001 MHz;Motherboard:EVGA 111-SS-E172;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:382.05;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6003 MHzGPU Core clock (max):2037 MHzGPU Temp min/max:36 / 70 C° FPS min/avg/max: 37.39 / 46.12 / 55.66 Detailed score info
1217;tbonetwiglet;Intel Core i7-6800KEVGA GeForce GTX 1080 Ti  (GP102);6166;Created:17 June 2017 (13:42);CPU Name:Intel Core i7-6800K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3401 MHz;Motherboard:ASUS X99-PRO;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:382.53;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6003 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:29 / 58 C° FPS min/avg/max: 37.2 / 46.12 / 54.05 Detailed score info
1218;Nopens.elk;AMD Ryzen 7 1800X Eight-Core ProcessorEVGA GeForce GTX 1080 Ti  (GP102);6165;Created:13 May 2017 (16:15);CPU Name:AMD Ryzen 7 1800X Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):4000 MHz;Motherboard:Micro-Star X370 XPOWER GAMING TITANIUM (MS-7A31);OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:382.05;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:EVGA;GPU Memory:11264 MBGPU Memory clock (max):6014 MHzGPU Core clock (max):2012 MHzGPU Temp min/max:21 / 38 C° FPS min/avg/max: 37.45 / 46.11 / 53.76 Detailed score info
1219;Raptor;Intel Core i7-8700KMSI GeForce GTX 1080 Ti  (GP102);6163;Created:30 March 2018 (00:50);CPU Name:Intel Core i7-8700K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3696 MHz;Motherboard:NVIDIA Z370 GAMING M5 (MS-7B58);OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:391.35;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:MSI;GPU Memory:11264 MBGPU Memory clock (max):6003 MHzGPU Core clock (max):1987 MHzGPU Temp min/max:41 / 70 C° FPS min/avg/max: 37.45 / 46.1 / 52.85 Detailed score info
1219;oxygenx;Intel Core i7-7820XNVIDIA GeForce GTX 1080 Ti  (GP102);6163;Created:28 October 2017 (23:17);CPU Name:Intel Core i7-7820X;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3601 MHz;Motherboard:Micro-Star X299 SLI PLUS (MS-7A93);OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:388;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:NVIDIA;GPU Memory:11264 MBGPU Memory clock (max):5899 MHzGPU Core clock (max):2037 MHzGPU Temp min/max:37 / 56 C° FPS min/avg/max: 36.85 / 46.1 / 53.85 Detailed score info
